1_0_0_1_0_0_463159_0_0_0               |                                                   |  1_0_0_463159=simayazadiirannationaltv                   |  =--------
1_0_0_1_1_1_D7AD7C_0_0_0               |                                                   |  1_1_1_D7AD7C=--------                                   |  =--------
1_0_19_27CE_C9_55_300000_0_0_0         |                                                   |  27CE_C9_55_300000=--------                              |  =--------
1_0_19_484_1_42_1A40000_0_0_0          |                                                   |  484_1_42_1A40000=--------                               |  =--------
1_0_19_488_1_42_1A40000_0_0_0          |                                                   |  488_1_42_1A40000=--------                               |  =--------
1_0_19_489_1_42_1A40000_0_0_0          |                                                   |  489_1_42_1A40000=--------                               |  =--------
1_0_19_48B_1_42_1A40000_0_0_0          |                                                   |  48B_1_42_1A40000=--------                               |  =--------
1_0_19_48C_1_42_1A40000_0_0_0          |                                                   |  48C_1_42_1A40000=--------                               |  =--------
1_0_19_4A7_1_42_1A40000_0_0_0          |                                                   |  4A7_1_42_1A40000=--------                               |  =--------
1_0_19_6B6_7_42_1A40000_0_0_0          |                                                   |  6B6_7_42_1A40000=--------                               |  =--------
1_0_19_6B9_7_42_1A40000_0_0_0          |                                                   |  6B9_7_42_1A40000=--------                               |  =--------
1_0_19_6BB_7_42_1A40000_0_0_0          |                                                   |  6BB_7_42_1A40000=--------                               |  =--------
1_0_19_6BD_7_42_1A40000_0_0_0          |                                                   |  6BD_7_42_1A40000=--------                               |  =--------
1_0_19_6FF_7_42_1A40000_0_0_0          |                                                   |  6FF_7_42_1A40000=--------                               |  =--------
1_0_19_700_7_42_1A40000_0_0_0          |                                                   |  700_7_42_1A40000=--------                               |  =--------
1_0_19_701_7_42_1A40000_0_0_0          |                                                   |  701_7_42_1A40000=--------                               |  =--------
1_0_1_144E_5DC_13E_820000_0_0_0        |                                                   |  144E_5DC_13E_820000=--------                            |  =--------
1_0_1_153_157C_13E_820000_0_0_0        |                                                   |  153_157C_13E_820000=--------                            |  =--------
1_0_1_154_157C_13E_820000_0_0_0        |                                                   |  154_157C_13E_820000=--------                            |  =--------
1_0_1_155_157C_13E_820000_0_0_0        |                                                   |  155_157C_13E_820000=--------                            |  =--------
1_0_1_156_157C_13E_820000_0_0_0        |                                                   |  156_157C_13E_820000=--------                            |  =--------
1_0_1_157_157C_13E_820000_0_0_0        |                                                   |  157_157C_13E_820000=--------                            |  =--------
1_0_1_2C1_7_800_DCA0000_0_0_0          |                                                   |  2C1_7_800_DCA0000=--------                              |  =--------
1_0_1_2C5_7_800_DCA0000_0_0_0          |                                                   |  2C5_7_800_DCA0000=--------                              |  =--------
1_0_1_38F6_15E0_FBFF_820000_0_0_0      |                                                   |  38F6_15E0_FBFF_820000=--------                          |  =--------
1_0_1_44F_1_42_1A40000_0_0_0           |                                                   |  44F_1_42_1A40000=--------                               |  =--------
1_0_1_45D_1_42_1A40000_0_0_0           |                                                   |  45D_1_42_1A40000=--------                               |  =--------
1_0_1_45F_1_42_1A40000_0_0_0           |                                                   |  45F_1_42_1A40000=--------                               |  =--------
1_0_1_463_1_42_1A40000_0_0_0           |                                                   |  463_1_42_1A40000=--------                               |  =--------
1_0_1_465_1_42_1A40000_0_0_0           |                                                   |  465_1_42_1A40000=--------                               |  =--------
1_0_1_467_1_42_1A40000_0_0_0           |                                                   |  467_1_42_1A40000=--------                               |  =--------
1_0_1_469_1_42_1A40000_0_0_0           |                                                   |  469_1_42_1A40000=--------                               |  =--------
1_0_1_46B_1_42_1A40000_0_0_0           |                                                   |  46B_1_42_1A40000=--------                               |  =--------
1_0_1_46D_1_42_1A40000_0_0_0           |                                                   |  46D_1_42_1A40000=--------                               |  =--------
1_0_1_46F_1_42_1A40000_0_0_0           |                                                   |  46F_1_42_1A40000=--------                               |  =--------
1_0_1_471_1_42_1A40000_0_0_0           |                                                   |  471_1_42_1A40000=--------                               |  =--------
1_0_1_473_1_42_1A40000_0_0_0           |                                                   |  473_1_42_1A40000=--------                               |  =--------
1_0_1_475_1_42_1A40000_0_0_0           |                                                   |  475_1_42_1A40000=--------                               |  =--------
1_0_1_477_1_42_1A40000_0_0_0           |                                                   |  477_1_42_1A40000=--------                               |  =--------
1_0_1_479_1_42_1A40000_0_0_0           |                                                   |  479_1_42_1A40000=--------                               |  =--------
1_0_1_47B_1_42_1A40000_0_0_0           |                                                   |  47B_1_42_1A40000=--------                               |  =--------
1_0_1_47D_1_42_1A40000_0_0_0           |                                                   |  47D_1_42_1A40000=--------                               |  =--------
1_0_1_47F_1_42_1A40000_0_0_0           |                                                   |  47F_1_42_1A40000=--------                               |  =--------
1_0_1_481_1_42_1A40000_0_0_0           |                                                   |  481_1_42_1A40000=--------                               |  =--------
1_0_1_483_1_42_1A40000_0_0_0           |                                                   |  483_1_42_1A40000=--------                               |  =--------
1_0_1_51B_3_42_1A40000_0_0_0           |                                                   |  51B_3_42_1A40000=--------                               |  =--------
1_0_1_529_3_42_1A40000_0_0_0           |                                                   |  529_3_42_1A40000=--------                               |  =--------
1_0_1_52B_3_42_1A40000_0_0_0           |                                                   |  52B_3_42_1A40000=--------                               |  =--------
1_0_1_52F_3_42_1A40000_0_0_0           |                                                   |  52F_3_42_1A40000=tvo-trahaclasp                         |  =--------
1_0_1_531_3_42_1A40000_0_0_0           |                                                   |  531_3_42_1A40000=lidertv                                |  =--------
1_0_1_533_3_42_1A40000_0_0_0           |                                                   |  533_3_42_1A40000=--------                               |  =--------
1_0_1_535_3_42_1A40000_0_0_0           |                                                   |  535_3_42_1A40000=--------                               |  =--------
1_0_1_539_3_42_1A40000_0_0_0           |                                                   |  539_3_42_1A40000=tvo-trahaclasp                         |  =--------
1_0_1_53D_3_42_1A40000_0_0_0           |                                                   |  53D_3_42_1A40000=--------                               |  =--------
1_0_1_541_3_42_1A40000_0_0_0           |                                                   |  541_3_42_1A40000=--------                               |  =--------
1_0_1_543_3_42_1A40000_0_0_0           |                                                   |  543_3_42_1A40000=--------                               |  =--------
1_0_1_549_3_42_1A40000_0_0_0           |                                                   |  549_3_42_1A40000=--------                               |  =--------
1_0_1_551_3_42_1A40000_0_0_0           |                                                   |  551_3_42_1A40000=--------                               |  =--------
1_0_1_553_3_42_1A40000_0_0_0           |                                                   |  553_3_42_1A40000=--------                               |  =--------
